"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr11"	114179229	114179729	501	"*"	9.44	10.41	4.71	5.7	4.03e-119	3.3e-114
"chr10"	74056314	74056814	501	"*"	9.12	10.07	5.38	4.68	4.03e-111	1.65e-106
"chr2"	20438533	20439033	501	"*"	8.74	9.67	5.38	4.29	8.74e-93	2.39e-88
"chr11"	114154443	114154943	501	"*"	8.78	9.71	5.3	4.42	1.69e-91	3.47e-87
"chr17"	59825482	59825982	501	"*"	8.69	9.61	5.51	4.1	7.51e-83	1.23e-78
"chr19"	18020242	18020742	501	"*"	8.44	9.39	4.63	4.75	2.73e-82	3.74e-78
"chr1"	8259091	8259591	501	"*"	8.57	9.46	5.73	3.73	1.98e-79	2.32e-75
"chr9"	70480582	70481082	501	"*"	8.4	9.33	5.13	4.2	7.85e-79	8.05e-75
"chr6"	25006378	25006878	501	"*"	8.44	9.4	3.91	5.49	4.55e-75	4.15e-71
"chr2"	33152939	33153439	501	"*"	8.31	9.26	4.31	4.95	1.95e-74	1.6e-70
"chr6"	35727877	35728377	501	"*"	8.44	9.35	5.27	4.09	3.5e-74	2.61e-70
"chr2"	150697667	150698167	501	"*"	8.39	9.35	4.16	5.19	3.94e-74	2.69e-70
"chr6"	35601789	35602289	501	"*"	8.45	9.35	5.54	3.82	1.08e-73	6.8e-70
"chr15"	25737211	25737711	501	"*"	8.3	9.25	4.57	4.68	1.63e-73	9.53e-70
"chr13"	40236145	40236645	501	"*"	8.36	9.26	5.36	3.9	7.93e-72	4.34e-68
"chr5"	134466277	134466777	501	"*"	8.41	9.3	5.63	3.67	2.18e-71	1.12e-67
"chr22"	42990838	42991338	501	"*"	8.28	9.21	4.97	4.24	5.62e-70	2.57e-66
"chr14"	80606368	80606868	501	"*"	8.3	9.27	4.02	5.25	5.65e-70	2.57e-66
"chr1"	94743865	94744365	501	"*"	8.45	9.42	3.53	5.89	6.15e-70	2.65e-66
"chr10"	132482135	132482635	501	"*"	8.21	9.16	4.29	4.87	7.37e-70	3.02e-66
"chr8"	90001522	90002022	501	"*"	8.31	9.28	3.76	5.52	1.14e-69	4.43e-66
"chr9"	88852722	88853222	501	"*"	8.35	9.27	5.16	4.11	2.09e-69	7.79e-66
"chr7"	74022977	74023477	501	"*"	8.71	9.58	6.22	3.36	2.18e-69	7.79e-66
"chr14"	61466073	61466573	501	"*"	8.76	9.59	6.56	3.03	8.71e-68	2.98e-64
"chr2"	121502039	121502539	501	"*"	8.29	9.21	5.02	4.19	1.39e-67	4.55e-64
"chr1"	169485663	169486163	501	"*"	8.53	9.4	5.98	3.42	5.98e-67	1.89e-63
"chr3"	30496437	30496937	501	"*"	8.68	9.55	6.22	3.33	6.7e-67	2.04e-63
"chr4"	128660270	128660770	501	"*"	9.15	9.97	7.03	2.94	2.07e-66	6.06e-63
"chr5"	149135257	149135757	501	"*"	8.41	9.3	5.71	3.58	3.41e-66	9.64e-63
"chr3"	156674029	156674529	501	"*"	8.38	9.26	5.72	3.54	1.14e-65	3.13e-62
"chr5"	150780266	150780766	501	"*"	8.46	9.31	6.09	3.23	1.87e-65	4.95e-62
"chr2"	237097830	237098330	501	"*"	8.39	9.29	5.55	3.73	3.37e-65	8.65e-62
"chr17"	65463150	65463650	501	"*"	8.18	9.09	5.14	3.95	1.82e-64	4.52e-61
"chr19"	15293992	15294492	501	"*"	8.04	8.97	4.6	4.37	2.86e-64	6.9e-61
"chr7"	50502223	50502723	501	"*"	8.15	9.06	5.2	3.86	1.94e-63	4.55e-60
