"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr20"	47318227	47318727	501	"*"	7.9	8.68	6.07	2.61	2.05e-37	5.42e-33
"chr16"	56608381	56608881	501	"*"	9.18	9.77	8.15	1.61	4.01e-25	5.29e-21
"chr22"	30246399	30246899	501	"*"	7.38	5.81	8.11	-2.3	4.86e-24	4.28e-20
"chr17"	8152092	8152592	501	"*"	6.81	7.59	4.99	2.6	2.25e-19	1.49e-15
"chr6"	35727585	35728085	501	"*"	6.13	7.02	3.37	3.64	4.41e-19	2.33e-15
"chr9"	129320808	129321308	501	"*"	7.58	8.25	6.32	1.93	5.73e-18	2.52e-14
"chr16"	56625586	56626086	501	"*"	8.94	9.47	8.11	1.36	2.61e-17	9.84e-14
"chr19"	38209650	38210150	501	"*"	5.95	6.82	3.43	3.39	1.32e-15	4.36e-12
"chr3"	156674383	156674883	501	"*"	8.57	9.06	7.81	1.25	2.39e-15	7.02e-12
"chr17"	34255011	34255511	501	"*"	6.5	4.99	7.22	-2.24	1.23e-14	3.24e-11
"chrX"	107716778	107717278	501	"*"	6.87	7.54	5.61	1.93	3.55e-14	8.52e-11
"chr12"	32399362	32399862	501	"*"	5.51	6.47	1.31	5.16	1.49e-13	3.29e-10
"chr11"	130448423	130448923	501	"*"	5.81	6.63	3.73	2.9	2.97e-13	6.03e-10
"chr9"	88076433	88076933	501	"*"	5.8	6.63	3.63	3.01	6.25e-13	1.18e-09
"chr19"	55370125	55370625	501	"*"	7.87	7.01	8.4	-1.39	1.13e-12	2e-09
"chr3"	126355962	126356462	501	"*"	5.38	6.34	1.06	5.28	1.66e-12	2.73e-09
"chr9"	70480467	70480967	501	"*"	5.5	6.36	3.15	3.21	6.16e-12	9.58e-09
"chr17"	29615491	29615991	501	"*"	5.94	6.73	4.04	2.7	7.79e-12	1.14e-08
"chr7"	130912377	130912877	501	"*"	7.8	7.03	8.3	-1.27	1.56e-11	2.16e-08
"chr6"	35688623	35689123	501	"*"	7.54	8.07	6.68	1.39	3.76e-11	4.95e-08
"chr20"	50415528	50416028	501	"*"	6.02	6.8	4.19	2.61	3.94e-11	4.95e-08
"chr22"	30196744	30197244	501	"*"	6.57	5.32	7.23	-1.91	5.87e-11	7.04e-08
"chr16"	72990202	72990702	501	"*"	5.31	6.18	2.76	3.42	6.44e-11	7.4e-08
"chr3"	194574717	194575217	501	"*"	4.98	1.04	5.93	-4.89	8.52e-11	9.09e-08
"chr6"	35731601	35732101	501	"*"	7.15	7.73	6.16	1.57	8.6e-11	9.09e-08
"chr19"	39406653	39407153	501	"*"	9	9.42	8.41	1.02	1.47e-10	1.5e-07
"chr11"	122180554	122181054	501	"*"	7.17	6.27	7.72	-1.45	1.57e-10	1.53e-07
"chr5"	98796154	98796654	501	"*"	5.95	4.48	6.67	-2.19	1.63e-10	1.54e-07
"chr6"	25296842	25297342	501	"*"	5.58	6.36	3.73	2.63	2.65e-10	2.41e-07
"chr11"	114179268	114179768	501	"*"	5.59	6.58	-0.16	6.73	2.88e-10	2.47e-07
"chr2"	20438553	20439053	501	"*"	5.23	6.08	2.84	3.24	2.9e-10	2.47e-07
"chr10"	74056349	74056849	501	"*"	5.8	6.54	4.17	2.37	3.65e-10	3.01e-07
"chr17"	59825631	59826131	501	"*"	5.59	6.37	3.79	2.57	3.95e-10	3.16e-07
"chr1"	94541426	94541926	501	"*"	8.11	8.57	7.43	1.14	5.14e-10	3.99e-07
"chr9"	101410225	101410725	501	"*"	5.67	6.44	3.95	2.49	5.36e-10	4.05e-07
"chr2"	46850077	46850577	501	"*"	7.03	6.14	7.57	-1.43	7.36e-10	5.3e-07
