"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"chr20"	47318228	47318727	500	"*"	501	"*"	7.9	8.68	6.07	2.61	2.05e-37	5.42e-33	"Promoter (<=1kb)"	20	47318502	47320754	2253	1	"100131496"	"uc010zyb.3"	0	"ENSG00000267882"	"LOC100131496"	"uncharacterized LOC100131496"
"chr16"	56608382	56608881	500	"*"	501	"*"	9.18	9.77	8.15	1.61	4.01e-25	5.29e-21	"Promoter (<=1kb)"	16	56608584	56609476	893	1	"4502"	"uc059uma.1"	0	"ENSG00000125148"	"MT2A"	"metallothionein 2A"
"chr22"	30246400	30246899	500	"*"	501	"*"	7.38	5.81	8.11	-2.3	4.86e-24	4.28e-20	"Promoter (<=1kb)"	22	30240447	30246851	6405	2	"3976"	"uc003agz.3"	0	"ENSG00000128342"	"LIF"	"LIF, interleukin 6 family cytokine"
"chr17"	8152093	8152592	500	"*"	501	"*"	6.81	7.59	4.99	2.6	2.25e-19	1.49e-15	"Promoter (<=1kb)"	17	8140472	8152435	11964	2	"5187"	"uc002gkd.4"	0	"ENSG00000179094"	"PER1"	"period circadian regulator 1"
"chr6"	35727586	35728085	500	"*"	501	"*"	6.13	7.02	3.37	3.64	4.41e-19	2.33e-15	"Promoter (<=1kb)"	6	35573585	35728583	154999	2	"2289"	"uc003oky.3"	498	"ENSG00000096060"	"FKBP5"	"FK506 binding protein 5"
"chr9"	129320809	129321308	500	"*"	501	"*"	7.58	8.25	6.32	1.93	5.73e-18	2.52e-14	"Promoter (<=1kb)"	9	129321016	129324905	3890	1	"414318"	"uc004bxs.3"	0	NA	"C9orf106"	"chromosome 9 open reading frame 106 (putative)"
"chr16"	56625587	56626086	500	"*"	501	"*"	8.94	9.47	8.11	1.36	2.61e-17	9.84e-14	"Promoter (<=1kb)"	16	56625781	56627112	1332	1	"4493"	"uc059umf.1"	0	"ENSG00000169715"	"MT1E"	"metallothionein 1E"
"chr19"	38209651	38210150	500	"*"	501	"*"	5.95	6.82	3.43	3.39	1.32e-15	4.36e-12	"Downstream (<1kb)"	19	38212072	38213979	1908	2	"8193"	"uc060xzb.1"	3829	"ENSG00000011332"	"DPF1"	"double PHD fingers 1"
"chr3"	156674384	156674883	500	"*"	501	"*"	8.57	9.06	7.81	1.25	2.39e-15	7.02e-12	"Promoter (<=1kb)"	3	156674845	156706750	31906	1	"25976"	"uc003faw.4"	0	"ENSG00000163659"	"TIPARP"	"TCDD inducible poly(ADP-ribose) polymerase"
"chr17"	34255012	34255511	500	"*"	501	"*"	6.5	4.99	7.22	-2.24	1.23e-14	3.24e-11	"Promoter (<=1kb)"	17	34255285	34256816	1532	1	"6347"	"uc060dyg.1"	0	"ENSG00000108691"	"CCL2"	"C-C motif chemokine ligand 2"
